year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1981,Arkansas,2294000,7119,209,1776,4557,79972,24732,50959,4281,254.08992358742498
1981,Arizona,2793000,16082,227,4961,9830,196575,57655,127469,11451,442.3884440064063
1981,California,24159000,208485,3143,93781,97995,1625302,540806,921939,162557,3621.324255076865
1981,Colorado,2963000,15755,239,4726,9438,202119,60197,129658,12264,581.3032738446992
1981,Connecticut,3132000,14033,168,7709,5469,168790,52990,96927,18873,157.7198921832884
1981,District of Columbia,636000,14468,223,10399,3432,53442,16832,32845,3765,137.2957149735195
1981,Delaware,598000,3044,40,844,1990,36958,9627,24759,2572,32.235082126273475
1981,Florida,10166000,98109,1522,35473,55407,718470,241536,431222,45712,1490.177918195119
1981,Georgia,5569000,30527,960,10938,16267,282926,93121,171170,18635,636.2939833615033
1981,Hawaii,979000,2424,47,1453,584,61636,16726,40699,4211,115.74837626797051
1981,Iowa,2897000,5915,76,1554,3896,130723,30925,93333,6465,154.4367468665619
1981,Idaho,959000,2717,43,362,2114,40733,11255,27423,2055,84.92593107281823
1981,Illinois,11455000,90781,1205,42752,43108,609767,173142,366696,69929,1031.2515650784503
1981,Indiana,5466000,18672,388,7050,9618,229472,63887,147038,18547,461.66637513156144
1981,Kansas,2381000,8796,151,2611,5301,119880,36768,77039,6073,232.76393295262267
1981,Kentucky,3661000,10599,308,3687,5838,118690,38893,71194,8603,240.79756626733328
1981,Louisiana,4305000,27478,673,8698,16325,199295,61756,121955,15584,448.6033108932061
1981,Massachusetts,5770000,36273,210,15633,18850,300428,95080,147691,57657,419.1553013638364
1981,Maryland,4261000,37800,421,18085,17640,241625,70740,152405,18480,392.0898659338829
1981,Maine,1132000,2214,36,368,1665,45820,14081,29545,2194,51.61874233996417
1981,Michigan,9201000,59058,861,23688,30143,571582,171331,341805,58446,1183.9180137440944
1981,Minnesota,4090000,9344,85,4266,3937,184387,52253,121834,10300,287.73091201860717
1981,Missouri,4938000,26675,516,10629,14065,237575,78173,140567,18835,516.6916329621678
1981,Mississippi,2530000,7706,319,2059,4670,81789,29614,47587,4588,145.48297944051228
1981,Montana,792000,2004,27,302,1500,37746,7651,27874,2221,85.56205599665692
1981,North Carolina,5951000,25986,541,4809,19285,243012,79545,151679,11788,377.97558535911236
